date,5. adjusted close,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Lower Band,Real Middle Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,PHASE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD_Signal,MACD,MACDEXT,MACD,MACD_Hist,MAMA,FAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowK,STOCHF,FastD,STOCHRSI,FastD,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2000-01-25,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,6704.8543,,43.7061,32.5387,0.0,32.5387,,,,,6611.1201,,,,,
2000-01-26,6644.8501,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,54.447,65.2433,98.114,65.2433,,,,,6644.8501,,,,,
2000-01-27,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,6644.8501,,43.4956,32.7047,0.0,32.7047,,,,,6644.8501,,,,,
2000-01-28,6469.1099,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,6644.8501,,54.3681,65.1564,97.3552,65.1564,,,,,6469.1099,,,,,
2000-01-31,0.0,0.0,0.0,,,,,,,10593.3438,-2548.5559,4022.394,0.0,-83.3333,,,,4022.394,,,,,,,,0.0,,,,,,,,,,,3419.2251,3419.2251,,40168.4302,,,0.0,,556.9312,,,,,6578.4016,4022.394,43.4376,32.4517,0.0,32.4517,,,,,6469.1099,3798.5002,,,-100.0,3369.3139
2000-02-01,0.0,0.0,0.0,,,,100.0,25.0,-45.0,10351.735,-2983.158,3684.2885,0.0,-74.0741,-9.1908,,9.1908,3639.3088,,,,,,,,0.0,6574.6049,,,,,,,,,0.0,3419.2251,3419.2251,55.7419,38160.0087,-6762.1099,0.0,0.0,44.2581,561.965,,-2.2954,0.977,45.4046,6512.6176,3684.2885,43.3533,32.4517,0.0,32.4517,,,,,0.0,3548.9314,,,-100.0,2986.2288
2000-02-02,6618.4199,0.0,0.0,,,,95.0,20.0,-45.0,10361.9482,-2985.9052,3688.0215,0.0,58.8572,0.2541,,0.7061,3923.0337,,,,,,,,0.0,6575.0822,,,,,,,,,0.0,3419.2251,3419.2251,55.2141,36252.0082,74.6602,0.9667,0.0,44.7859,545.3965,,1.1409,1.0114,50.127,0.0,3688.0215,32.7456,33.3333,100.0,33.3333,,,,,6618.4199,3421.0039,,,-3.2175,3265.6698
2000-02-03,6657.54,0.0,0.0,,,,90.0,15.0,-45.0,10589.108,-2547.311,4020.8985,0.0,54.6445,0.3077,,0.7621,4183.4629,,,,,,,,0.0,6576.1195,,,,,,,,,0.0,3419.2251,3419.2251,53.4082,34439.4078,6657.54,0.9424,0.0,46.5918,557.2468,,1.3783,1.0138,50.1539,0.0,4020.8985,44.1506,66.6667,100.0,66.6667,,,,,39.1201,3351.5193,,,-2.6455,3548.4811
2000-02-04,6628.6699,0.0,0.0,,,,85.0,10.0,-45.0,10588.2312,-2547.1112,4020.56,0.0,54.0578,0.2658,,0.718,4416.3397,,,,,,,,0.0,6576.364,,,,,,,,,0.0,3419.2251,3419.2251,54.5627,32746.3075,-6.77,0.9209,0.0,45.4373,529.3845,,-0.102,0.999,50.1329,133.1508,4020.56,66.6185,99.8555,99.5664,99.8555,,,,,28.8701,3280.7264,,,-3.0677,3796.8403
2000-02-07,6596.3198,0.0,0.0,,,,80.0,5.0,-45.0,10562.3765,-2540.8916,4010.7425,0.0,53.7219,0.2165,,0.666,4623.9569,,,,,,,,0.0,6577.0487,,,,,,,,,0.0,3419.2251,3419.2251,55.853,31141.3423,-196.3501,0.9037,0.0,44.147,502.9152,,-2.8906,0.9711,50.1082,263.6386,4010.7425,88.6903,99.5489,99.0804,99.5489,,,,,32.3501,3270.1211,,,-3.5407,4042.1508
2000-02-08,0.0,0.0,0.0,,,-261.2474,100.0,0.0,-45.0,10307.667,-2970.027,3668.82,0.0,-74.0741,-9.363,,9.3704,4183.58,,,,,,,,0.0,6579.4146,,,,,,,,,0.0,3418.3799,3418.3799,53.1527,36180.595,-6838.4502,0.8927,0.0,46.8473,532.7495,-6.3511,-2.7367,0.9726,45.3185,6657.54,3668.82,88.54,66.2156,0.0,66.2156,,,,,6596.3198,3261.1663,,,-100.0,3660.1753
2000-02-09,0.0,0.0,0.0,,,-552.0929,100.0,10.0,-45.0,9991.8057,-3331.6138,3330.096,0.0,-66.6667,-9.363,,9.3704,3785.1438,,,,,,,,0.0,6577.0079,,,,,,,,,0.0,3418.3799,3418.3799,58.0986,34371.5652,-6774.48,0.9624,0.0,41.9014,506.112,-14.3277,-3.7007,0.963,45.3185,6596.3198,3330.096,66.2638,33.0268,0.0,33.0268,0.0,33.013,,,0.0,3253.9714,,,-100.0,3310.7639
2000-02-10,0.0,0.0,0.0,,,-300.4098,100.0,5.0,-45.0,9608.1557,-3624.6187,2991.7685,0.0,-60.6061,-9.363,,9.3704,3424.654,,,,,,,,0.0,6573.262,,,,,,,,,0.0,3418.3799,3418.3799,59.0605,32652.987,-6766.5498,0.9388,0.0,40.9395,480.8064,-8.3409,-3.9862,0.9601,45.3185,6530.3566,2991.7685,33.0808,0.0,0.0,0.0,0.0,0.0,,,0.0,3247.9551,,,-100.0,2993.6119
2000-02-11,6391.3999,0.0,0.0,,,-567.3537,95.0,0.0,-95.0,9536.7909,-3597.7899,2969.5005,0.0,69.8393,1.2992,,1.7048,3707.2012,,,,,,,,0.0,6556.1338,,,,,,,,,0.0,3386.29,3386.29,62.5948,31020.3376,-445.3599,0.9891,0.0,37.4052,456.7661,-14.7461,-6.5142,0.9349,50.6496,6465.0531,2969.5005,21.7749,32.2978,96.8934,32.2978,100.0,33.3333,,,6391.3999,3302.7464,,28.8651,-5.6283,3317.3863
2000-02-14,0.0,0.0,0.0,,,-312.1445,100.0,15.0,-95.0,9536.7909,-3597.7899,2969.5005,0.0,-60.6061,-8.129,,8.0919,3354.1344,,,,,,,,0.0,6539.1202,,,,,,,,,0.0,3386.29,3386.29,62.2375,35860.7206,0.0,0.9438,0.0,37.7625,440.5879,-8.6893,-6.8762,0.9312,45.9355,6400.4025,2969.5005,21.5319,32.2978,0.0,32.2978,11.5731,37.191,,,6391.3999,3360.8799,,26.1611,-100.0,3034.5767
2000-02-15,6459.2798,0.0,0.0,,,-300.141,95.0,10.0,-85.0,9879.1333,-3294.2043,3292.4645,0.0,64.1225,1.6125,,1.9549,3649.8625,,,,,,,,0.0,6533.7426,,,,,,,,,0.0,3386.29,3386.29,58.9798,34067.6846,6459.2798,0.9355,0.0,41.0202,479.7782,-8.3851,-5.1311,0.9487,50.8063,0.0,3292.4645,43.4089,65.6311,100.0,65.6311,100.0,70.5244,,,6459.2798,3477.7342,,34.5761,-4.626,3366.9367
2000-02-16,6396.79,0.0,0.0,,,249.9118,90.0,5.0,-85.0,10149.4532,-2924.8452,3612.304,0.0,57.0988,1.5194,,1.8585,3911.4747,,,,,,,,0.0,6521.987,,,,,,,,,0.0,3386.29,3386.29,61.164,32426.7901,6396.79,0.9463,0.0,38.836,455.7893,7.0152,-6.26,0.9374,50.7597,0.0,3612.304,54.7577,66.3442,99.0326,66.3442,99.1514,70.2415,,,62.4897,3592.5736,,32.26,-5.5487,3662.5867
2000-02-17,0.0,0.0,0.0,,,510.4687,100.0,0.0,-100.0,9822.5619,-3275.212,3273.675,0.0,-66.6667,-7.6062,,7.5607,3538.9533,10.9853,,2953.3931,-3105.4481,,,,0.0,6508.2635,,,,,,,652.2616,37.0664,0.0,3328.77,3328.77,62.484,37202.2407,-6772.5801,0.9354,0.0,37.516,432.9999,15.4598,-6.1279,0.9387,46.1969,6459.2798,3273.675,66.1065,66.3442,0.0,66.3442,5.3669,68.1728,,,6396.79,3586.7225,,26.166,-100.0,3318.5578
2000-02-18,6203.29,0.0,0.0,,,497.5384,95.0,45.0,-100.0,10070.4604,-2902.7815,3583.8395,0.0,54.1412,1.4378,,1.7168,3792.6996,11.4738,,4198.7716,90.5038,,,,0.0,6474.594,294.5672,-384.9143,-90.3471,-115.0523,497.5384,612.5907,707.7718,40.4199,0.0,3328.77,3328.77,67.1113,35342.1286,6203.29,1.0351,0.0,32.8887,411.3499,15.1678,-8.2727,0.9173,50.7189,6396.79,3583.8395,65.9038,65.0231,96.0369,65.0231,98.206,67.5748,,,6203.29,3578.0501,,20.2855,-6.8231,3597.5687
