date,Share Price
25/11/1996,36.512978
26/11/1996,36.283932
27/11/1996,35.184399
28/11/1996,35.207325
29/11/1996,35.276035
02/12/1996,34.978241
03/12/1996,34.5774
04/12/1996,33.913116
05/12/1996,34.508686
06/12/1996,34.852261
09/12/1996,34.817905
10/12/1996,34.130733
11/12/1996,36.444263
12/12/1996,35.32185
13/12/1996,35.276035
16/12/1996,36.535904
17/12/1996,36.066311
18/12/1996,36.742054
19/12/1996,36.524441
20/12/1996,37.62397
23/12/1996,37.154373
24/12/1996,37.0742
25/12/1996,null
26/12/1996,38.414246
27/12/1996,null
30/12/1996,null
31/12/1996,38.345497
01/01/1997,41.037125
02/01/1997,41.243149
03/01/1997,41.632786
06/01/1997,41.518135
07/01/1997,42.984043
08/01/1997,42.995472
09/01/1997,42.857967
10/01/1997,43.05299
13/01/1997,43.132957
14/01/1997,43.556858
15/01/1997,46.614723
16/01/1997,44.747765
17/01/1997,44.484615
20/01/1997,42.938351
21/01/1997,41.827404
22/01/1997,43.900372
23/01/1997,null
24/01/1997,43.877533
27/01/1997,46.912563
28/01/1997,47.989243
29/01/1997,46.626152
30/01/1997,45.068462
31/01/1997,42.148067
03/02/1997,40.773602
04/02/1997,42.079117
05/02/1997,42.033428
06/02/1997,42.709061
07/02/1997,43.041157
10/02/1997,44.610294
11/02/1997,44.851002
12/02/1997,44.954212
13/02/1997,44.553165
14/02/1997,45.011333
17/02/1997,45.354858
18/02/1997,44.358559
19/02/1997,44.518906
20/02/1997,43.9575
21/02/1997,43.259029
24/02/1997,41.769863
25/02/1997,41.4492
26/02/1997,41.7813
27/02/1997,43.534016
28/02/1997,46.500092
03/03/1997,47.473961
04/03/1997,47.828911
05/03/1997,48.206699
06/03/1997,47.553925
07/03/1997,null
10/03/1997,45.41198
11/03/1997,43.293304
12/03/1997,44.232491
13/03/1997,43.545433
14/03/1997,43.476486
17/03/1997,43.281872
18/03/1997,42.606239
19/03/1997,41.90736
20/03/1997,42.182343
21/03/1997,42.262718
24/03/1997,null
25/03/1997,42.010582
26/03/1997,41.941639
27/03/1997,42.079117
28/03/1997,null
31/03/1997,37.921757
01/04/1997,37.165833
02/04/1997,38.230976
03/04/1997,38.059174
04/04/1997,37.53233
07/04/1997,36.833698
08/04/1997,null
09/04/1997,38.700562
10/04/1997,37.60104
11/04/1997,37.89883
14/04/1997,null
15/04/1997,37.761391
16/04/1997,null
17/04/1997,38.79221
18/04/1997,null
21/04/1997,40.670498
22/04/1997,40.223835
23/04/1997,42.480183
24/04/1997,41.7813
25/04/1997,41.644211
28/04/1997,41.884514
29/04/1997,41.357811
30/04/1997,42.480183
01/05/1997,null
02/05/1997,41.563835
05/05/1997,39.662651
06/05/1997,39.548092
07/05/1997,40.876785
08/05/1997,40.842506
09/05/1997,40.578907
12/05/1997,39.742809
13/05/1997,39.582481
14/05/1997,39.983326
15/05/1997,39.857334
16/05/1997,40.475807
19/05/1997,41.197456
20/05/1997,41.00285
21/05/1997,40.922478
22/05/1997,40.71632
23/05/1997,39.845879
26/05/1997,38.620392
27/05/1997,38.322617
28/05/1997,38.253899
29/05/1997,38.677639
30/05/1997,39.479378
02/06/1997,41.957443
03/06/1997,42.053509
04/06/1997,41.789242
05/06/1997,41.933395
06/06/1997,41.524979
09/06/1997,40.684185
10/06/1997,41.044495
11/06/1997,42.341812
12/06/1997,42.798111
13/06/1997,43.831463
16/06/1997,43.230705
17/06/1997,44.587963
18/06/1997,47.110352
19/06/1997,47.338852
20/06/1997,46.642254
23/06/1997,45.969189
24/06/1997,45.332912
25/06/1997,45.308521
26/06/1997,44.948238
27/06/1997,44.035557
30/06/1997,44.816456
01/07/1997,47.963139
02/07/1997,50.882175
03/07/1997,52.215477
04/07/1997,52.96043
07/07/1997,51.326767
08/07/1997,50.137661
09/07/1997,53.140572
10/07/1997,52.419575
11/07/1997,51.470951
14/07/1997,49.068371
15/07/1997,49.981468
16/07/1997,49.849266
17/07/1997,50.125675
18/07/1997,null
21/07/1997,48.515965
22/07/1997,49.789364
23/07/1997,51.963448
24/07/1997,51.458969
25/07/1997,51.038353
28/07/1997,50.930107
29/07/1997,51.362701
30/07/1997,52.26339
31/07/1997,53.020336
01/08/1997,52.467926
04/08/1997,53.056278
05/08/1997,53.020336
06/08/1997,54.894051
07/08/1997,52.563766
08/08/1997,51.362701
11/08/1997,51.182552
12/08/1997,50.149643
13/08/1997,49.909161
14/08/1997,49.404678
15/08/1997,null
18/08/1997,48.767998
19/08/1997,48.72007
20/08/1997,49.32082
21/08/1997,47.182671
22/08/1997,46.317921
