date,Share Price
21/10/1986,139.925003
22/10/1986,140.300003
23/10/1986,142.149994
24/10/1986,141.964996
27/10/1986,141.759995
28/10/1986,142.494995
29/10/1986,143.130005
30/10/1986,144.779999
31/10/1986,144.479996
03/11/1986,144.809998
04/11/1986,145.964996
05/11/1986,146.179993
06/11/1986,145.410004
07/11/1986,144.910004
10/11/1986,144.294998
11/11/1986,145.350006
12/11/1986,145.580002
13/11/1986,143.414993
14/11/1986,143.505005
17/11/1986,143.195007
18/11/1986,140.660004
19/11/1986,139.544998
20/11/1986,141.309998
21/11/1986,142.899994
24/11/1986,144.494995
25/11/1986,145.770004
26/11/1986,146.869995
28/11/1986,147.940002
01/12/1986,146.854996
02/12/1986,148.865005
03/12/1986,150.080002
04/12/1986,149.979996
05/12/1986,149.044998
08/12/1986,147.845001
09/12/1986,146.865005
10/12/1986,146.955002
11/12/1986,146.080002
12/12/1986,144.979996
15/12/1986,144.074997
16/12/1986,144.490005
17/12/1986,143.044998
18/12/1986,142.854996
19/12/1986,143.770004
22/12/1986,144.085007
23/12/1986,142.804993
24/12/1986,142.794998
26/12/1986,142.934998
29/12/1986,141.514999
30/12/1986,141.524994
31/12/1986,141.404999
02/01/1987,142.860001
05/01/1987,147.404999
06/01/1987,149.059998
07/01/1987,152.975006
08/01/1987,155.690002
09/01/1987,156.990005
12/01/1987,159.304993
13/01/1987,159.619995
14/01/1987,162.660004
15/01/1987,164.145004
16/01/1987,162.514999
19/01/1987,166.455002
20/01/1987,166.520004
21/01/1987,164.259995
22/01/1987,167.945007
23/01/1987,166.764999
26/01/1987,164.139999
27/01/1987,166.654999
28/01/1987,167.625
29/01/1987,165.740005
30/01/1987,166.675003
02/02/1987,170.304993
03/02/1987,171.554993
04/02/1987,173.5
05/02/1987,174.634995
06/02/1987,174.630005
09/02/1987,173.625
10/02/1987,172.324997
11/02/1987,175.979996
12/02/1987,176.264999
13/02/1987,179.065002
17/02/1987,183.649994
18/02/1987,181.210007
19/02/1987,179.869995
20/02/1987,178.684998
23/02/1987,177.705002
24/02/1987,178.940002
25/02/1987,180.970001
26/02/1987,182.184998
27/02/1987,182.75
02/03/1987,181.065002
03/03/1987,180.565002
04/03/1987,183.274994
05/03/1987,184.669998
06/03/1987,184.285004
09/03/1987,182.475006
10/03/1987,184.464996
11/03/1987,185.309998
12/03/1987,184.770004
13/03/1987,183.164993
16/03/1987,182.729996
17/03/1987,185.899994
18/03/1987,186.044998
19/03/1987,187.960007
20/03/1987,189.824997
23/03/1987,189.399994
24/03/1987,190.179993
25/03/1987,190.195007
26/03/1987,190.705002
27/03/1987,189.050003
30/03/1987,183.835007
31/03/1987,186.039993
01/04/1987,186.074997
02/04/1987,187.660004
03/04/1987,191.360001
06/04/1987,190.914993
07/04/1987,187.434998
08/04/1987,189.279999
09/04/1987,188.729996
10/04/1987,188.285004
13/04/1987,183.945007
14/04/1987,179.725006
15/04/1987,182.460007
16/04/1987,183.744995
20/04/1987,182.125
21/04/1987,184.634995
22/04/1987,183.955002
23/04/1987,183.770004
24/04/1987,180.375
27/04/1987,179.550003
28/04/1987,181.264999
29/04/1987,182.220001
30/04/1987,184.830002
01/05/1987,185.830002
04/05/1987,186.449997
05/05/1987,189.735001
06/05/1987,189.294998
07/05/1987,190.014999
08/05/1987,190.360001
11/05/1987,189.240005
12/05/1987,188.975006
13/05/1987,190.294998
14/05/1987,190.740005
15/05/1987,187.910004
18/05/1987,185.455002
19/05/1987,181.464996
20/05/1987,181.699997
21/05/1987,182.660004
22/05/1987,181.639999
26/05/1987,185.169998
27/05/1987,185.955002
28/05/1987,188.110001
29/05/1987,188.770004
01/06/1987,185.860001
02/06/1987,184.5
03/06/1987,185.759995
04/06/1987,186.255005
05/06/1987,185.684998
08/06/1987,187.535004
09/06/1987,189.475006
10/06/1987,190.020004
11/06/1987,189.664993
12/06/1987,190.360001
15/06/1987,189.600006
16/06/1987,191.139999
17/06/1987,191.320007
18/06/1987,192.369995
19/06/1987,192.050003
22/06/1987,192.899994
23/06/1987,191.839996
24/06/1987,191.904999
25/06/1987,191.345001
26/06/1987,191.059998
29/06/1987,190.699997
30/06/1987,189.240005
01/07/1987,189.475006
02/07/1987,190.384995
06/07/1987,189.024994
07/07/1987,187.755005
08/07/1987,187.384995
09/07/1987,187.975006
10/07/1987,188.735001
13/07/1987,190.419998
14/07/1987,194.985001
15/07/1987,194.869995
16/07/1987,196.039993
17/07/1987,195.865005
20/07/1987,193.860001
21/07/1987,193.195007
22/07/1987,193.634995
23/07/1987,191.505005
24/07/1987,193.024994
27/07/1987,193.195007
28/07/1987,193.755005
29/07/1987,194.725006
30/07/1987,196.565002
31/07/1987,196.350006
03/08/1987,195.240005
04/08/1987,195.880005
05/08/1987,198.244995
06/08/1987,201.865005
07/08/1987,203.729996
10/08/1987,206.029999
11/08/1987,208.389999
12/08/1987,207.059998
13/08/1987,206.470001
14/08/1987,206.464996
17/08/1987,206.830002
18/08/1987,203.899994
19/08/1987,205.389999
20/08/1987,208.929993
21/08/1987,210.574997
24/08/1987,209.479996
25/08/1987,210.714996
26/08/1987,211.160004
27/08/1987,210.634995
28/08/1987,208.845001
31/08/1987,209.574997
01/09/1987,206.889999
02/09/1987,205.729996
03/09/1987,205.014999
04/09/1987,204.059998
08/09/1987,199.899994
09/09/1987,201.600006
10/09/1987,205.164993
11/09/1987,206.365005
14/09/1987,205.160004
15/09/1987,202.255005
16/09/1987,201.300003
17/09/1987,202.054993
18/09/1987,201.675003
21/09/1987,197.259995
22/09/1987,201.429993
23/09/1987,204.074997
24/09/1987,204.639999
25/09/1987,205.115005
28/09/1987,204.625
29/09/1987,204.149994
30/09/1987,205.505005
01/10/1987,209.705002
02/10/1987,212.145004
05/10/1987,213.809998
06/10/1987,208.070007
07/10/1987,206.889999
08/10/1987,203.625
09/10/1987,202.464996
12/10/1987,199.625
13/10/1987,201.229996
14/10/1987,197.494995
15/10/1987,193.065002
16/10/1987,183.285004
19/10/1987,155.649994
20/10/1987,143.960007
21/10/1987,158.779999
22/10/1987,149.985001
23/10/1987,145.419998
26/10/1987,128.425003
27/10/1987,129.865005
28/10/1987,131.210007
29/10/1987,143.639999
30/10/1987,150.070007
02/11/1987,152.195007
03/11/1987,147.134995
04/11/1987,147.945007
05/11/1987,153.029999
06/11/1987,150.679993
09/11/1987,146.485001
10/11/1987,143.445007
11/11/1987,145.479996
12/11/1987,149.845001
13/11/1987,147.949997
16/11/1987,147.460007
17/11/1987,143.574997
18/11/1987,144.835007
19/11/1987,141.059998
20/11/1987,140.835007
23/11/1987,141.839996
24/11/1987,144.660004
25/11/1987,144.994995
27/11/1987,143.354996
30/11/1987,137.125
01/12/1987,137.160004
02/12/1987,137.955002
03/12/1987,132.949997
04/12/1987,130.434998
07/12/1987,133.145004
08/12/1987,136.690002
09/12/1987,139.759995
10/12/1987,139.014999
11/12/1987,139.820007
14/12/1987,146.080002
15/12/1987,146.889999
16/12/1987,151.059998
17/12/1987,149.910004
18/12/1987,154.744995
21/12/1987,156.020004
22/12/1987,155.554993
23/12/1987,158.059998
24/12/1987,158.184998
28/12/1987,152.779999
29/12/1987,154.345001
30/12/1987,157.285004
31/12/1987,156.25
04/01/1988,161.809998
05/01/1988,164.279999
06/01/1988,166.175003
07/01/1988,168.699997
08/01/1988,158.195007
11/01/1988,158.875
12/01/1988,155.725006
13/01/1988,155.544998
14/01/1988,156.035004
15/01/1988,159.824997
18/01/1988,159.024994
19/01/1988,158.009995
20/01/1988,152.464996
21/01/1988,152.949997
22/01/1988,154.354996
25/01/1988,157.054993
26/01/1988,155.229996
27/01/1988,155.425003
28/01/1988,157.654999
29/01/1988,159.130005
01/02/1988,158.615005
02/02/1988,158.975006
03/02/1988,156.580002
04/02/1988,157.380005
05/02/1988,158.014999
08/02/1988,157.875
